CollectionIdentifier	Title	Subject
IWA0001	Margaret Anderson papers	Iowa
IWA0001	Margaret Anderson papers	Cedar Falls (Iowa)
IWA0001	Margaret Anderson papers	Black Hawk County (Iowa)
IWA0002	Paula Watts Brown papers	Des Moines (Iowa)
IWA0003	Church Women United in Iowa records	Iowa
IWA0004	Charlene Conklin papers	Des Moines (Iowa)
IWA0004	Charlene Conklin papers	Iowa
IWA0004	Charlene Conklin papers	Waterloo (Iowa)
IWA0004	Charlene Conklin papers	Black Hawk County (Iowa)
IWA0005	Roxanne Barton Conlin papers	Des Moines (Iowa)
IWA0005	Roxanne Barton Conlin papers	Iowa
IWA0006	Cecile Cooper papers	Davenport (Iowa)
IWA0006	Cecile Cooper papers	Iowa
IWA0006	Cecile Cooper papers	Centerville (Iowa)
IWA0006	Cecile Cooper papers	Mississippi
IWA0006	Cecile Cooper papers	Coralville (Iowa)
IWA0007	Louise Crawford papers	Cedar Rapids (Iowa)
IWA0008	Minnette Doderer papers	Iowa City (Iowa)
IWA0009	Catherine Snedeker Hill papers	Monticello (Ill.)
IWA0009	Catherine Snedeker Hill papers	Mount Pleasant (Iowa)
IWA0010	Lenora Backes diaries	Cedar Rapids (Iowa)
IWA0010	Lenora Backes diaries	Belle Plaine (Iowa)
IWA0011	Iowa ERA Coalition records	Iowa
IWA0012	Evelyn Crary Bacon papers	Iowa City (Iowa)
IWA0013	"National Organization for Women, Iowa records"	Iowa
IWA0014	"National Organization for Women, Des Moines Chapter records"	Des Moines (Iowa)
IWA0015	"Iowa Nurses Association, Fifth District records"	Iowa
IWA0016	Iowa Press Women records	Iowa
IWA0017	"National Organization for Women, Johnson County-Iowa City Chapter records"	Iowa City (Iowa)
IWA0017	"National Organization for Women, Johnson County-Iowa City Chapter records"	Johnson County (Iowa)
IWA0018	Iowa Women Against the Equal Rights Amendment records	Iowa
IWA0019	Iowa Women's Political Caucus records	Iowa
IWA0020	League of Women Voters of Iowa records	Iowa
IWA0021	League of Women Voters of Johnson County records	Johnson County (Iowa)
IWA0022	Thelma B. Lewis papers	Iowa City (Iowa)
IWA0022	Thelma B. Lewis papers	Moscow (Russia)
IWA0023	Iowa Nurses Association records	Iowa
IWA0024	Patricia J. Pardun papers	Iowa
IWA0025	Dorothy Ashby Pownall papers	Johnston (Iowa)
IWA0025	Dorothy Ashby Pownall papers	Iowa City (Iowa)
IWA0025	Dorothy Ashby Pownall papers	Camp Dodge (Iowa)
IWA0026	Elizabeth Shaw papers	Iowa
IWA0026	Elizabeth Shaw papers	Des Moines (Iowa)
IWA0027	Mary Louise Smith papers	Iowa City (Iowa)
IWA0027	Mary Louise Smith papers	Des Moines (Iowa)
IWA0027	Mary Louise Smith papers	Washington (D.C.)
IWA0028	Elizabeth Wherry papers	Wyoming (Iowa)
IWA0029	Elizabeth Clarkson Zwart Papers	Des Moines (Iowa)
IWA0030	Bernice Leary papers	Philippines
IWA0030	Bernice Leary papers	Madison (Wis.)
IWA0030	Bernice Leary papers	Thailand
IWA0030	Bernice Leary papers	Riceville (Iowa)
IWA0030	Bernice Leary papers	Webster City (Iowa)
IWA0031	Noble Photograph collection	Des Moines (Iowa)
IWA0031	Noble Photograph collection	Waukon (Iowa)
IWA0031	Noble Photograph collection	Garber (Iowa)
IWA0031	Noble Photograph collection	Iowa
IWA0032	Myrtilla F. Levin papers	Newton (Iowa)
IWA0032	Myrtilla F. Levin papers	Iowa
IWA0032	Myrtilla F. Levin papers	Jasper County (Iowa)
IWA0033	Margaret McDonald papers	Cherokee County (Iowa)
IWA0034	Lillian B. Lawler papers	Iowa City (Iowa)
IWA0034	Lillian B. Lawler papers	New York (N.Y.)
IWA0034	Lillian B. Lawler papers	Australia
IWA0034	Lillian B. Lawler papers	Rome (Italy)
IWA0034	Lillian B. Lawler papers	Bermuda
IWA0035	Louise Rosenfield Noun papers	Des Moines (Iowa)
IWA0036	Myrtle Kitchell Aydelotte papers	Iowa City (Iowa)
IWA0036	Myrtle Kitchell Aydelotte papers	Minneapolis Metropolitan Area (Minn.)
IWA0037	Floy Eugenia Whitehead papers	Iowa City (Iowa)
IWA0037	Floy Eugenia Whitehead papers	Ascension Parish (La.)
IWA0037	Floy Eugenia Whitehead papers	Athens (Ga.)
IWA0038	Margaret Keyes papers	Iowa City (Iowa)
IWA0039	Keyes Family papers	Blairstown (Iowa)
IWA0039	Keyes Family papers	Vicksburg (Miss.)
IWA0039	Keyes Family papers	Mount Vernon (Iowa)
IWA0040	Eliza Hickok Kesler papers	Cedar Rapids (Iowa)
IWA0041	Rose Claire Huth papers	Muscatine (Iowa)
IWA0042	Gladys Spayde papers	Fairfield (Iowa)
IWA0042	Gladys Spayde papers	Cleveland (Ohio)
IWA0042	Gladys Spayde papers	Buffalo (N.Y.)
IWA0042	Gladys Spayde papers	Custer (S.D.)
IWA0042	Gladys Spayde papers	Vermillion (S.D.)
IWA0042	Gladys Spayde papers	Nuremberg (Germany)
IWA0043	Lela Powers Briggs papers	La Porte City (Iowa)
IWA0043	Lela Powers Briggs papers	Waterloo (Iowa)
IWA0044	Phylliss Henry papers	Des Moines (Iowa)
IWA0044	Phylliss Henry papers	Cedar Rapids (Iowa)
IWA0045	Barbara Coffin papers	Waterloo (Iowa)
IWA0046	Oral Histories of Iowa Policewomen	Davenport (Iowa)
IWA0046	Oral Histories of Iowa Policewomen	Kossuth County (Iowa)
IWA0046	Oral Histories of Iowa Policewomen	Algona (Iowa)
IWA0046	Oral Histories of Iowa Policewomen	Iowa City (Iowa)
IWA0046	Oral Histories of Iowa Policewomen	Iowa
IWA0046	Oral Histories of Iowa Policewomen	Madison County (Iowa)
