Title	Creator	Publisher	Date Original	Description	Note	Topical Subject (LCTGM)	Topical Subject (LCSH)	Personal Name Subject	Corporate Name Subject	Railroad Line	Geographic Subject	Chronological Subject	Type (DCMIType)	Type (AAT)	Type (IMT)	Digital Collection	Contributing Institution	Archival Collection	Collection Identifier	Collection Guide	Scrapbook	Rights Management	Contact Information	Height (cm)	Width (cm)	Digitization Specifications	Date Digital	File Name	Compound Object	Latitude	Longitude	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
"Adair, Iowa. CRIP"	unknown		Unknown	Brick depot with boarded window. Utility poles and metal tanks behind.		Railroad stations; Buildings				"Chicago, Rock Island & Pacific Rail Road Co."	United States -- Iowa -- Adair County -- Adair		Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	9	12	"Scanned with HP ScanJet 6100C @ 600 ppi. TIFF image: 16,324,604 bytes, 1992 x 2730; JPG image: 223,335 bytes"	2/15/2005	40adair01.jpg		41.499851	-94.638076	7/29/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,12"	12	10.jpg	/railroadiana/image/10.jpg
"Prescott, Iowa. CBQ"	unknown		1964-09-21	Single story wooden depot.		Railroad stations; Buildings				"Chicago, Burlington & Quincy Railroad Company;"	United States -- Iowa -- Adams County -- Prescott	1960-1970	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	11	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 14,101,692 bytes, 1831 x 2565; JPEG image: 204,241 bytes"	3/21/2005	40prescott01.jpg		41.023622	-94.608443	10/19/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,17"	17	14.jpg	/railroadiana/image/14.jpg
"Adair, IA.  IAIS"	"Sims, Ronald D."		1988-06-11	"Two wooden buildings with grain elevators in the background.  Sign with 3/4.  Triangle shaped signal light. Propane tank between buildings.  Bridge over tracks in background. ""[vie]w looks w.  Sims photo, Cornell, IA 50313""--Photograph verso."		Railroad stations; Buildings; Railroad signals; Grain elevators				Iowa Interstate Railroad	United States -- Iowa -- Adair County -- Adair	1980-1990	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	7	11	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 13,852,632 bytes, 1720 x 2682; JPEG image: 233,273 bytes, 385 x 600"	3/16/2005	40adair02.jpg				7/29/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,19"	19	16.jpg	/railroadiana/image/16.jpg
"Bridgewater, IA.  CBQ"	unknown		1890/1899	"Wooden depot with ladder hanging on wall.  Train cars parked on rail behind depot.  Platform next to depot with horses and cart backed up to it.  Person standing on platform next to cart.  Shed to the right of the platform.  ""From Hattie""[?] written on lower left.  ""CB&Q original depot, Bridgewater, IA. 1890's, Adair"" -- photograph verso  ""Bridewater (sic) 1st depot CBQ 1890's"" -- scrapbook caption"		Railroad stations; Buildings; Carriages & coaches				"Chicago, Burlington & Quincy Railroad Company;"	United States -- Iowa -- Adair County -- Bridgewater	1890-1900	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	9	13	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 20,381,920 bytes, 2182 x 3112; JPEG image: 147,613 bytes"	3/17/2005	40bridgewater03.jpg				10/18/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,20"	20	17.jpg	/railroadiana/image/17.jpg
"Adair, IA. CRIP"	"Sims, Ronald D."		1988-06-11	"Small wooden depot with triangle shaped signal light.  Bridge over tracks in background. ""View looks w.  Ron Sims photo, 2717 Cornell, DM IA 50313  Adair new depot""--Photograph verso."		Railroad stations; Buildings; Railroad signals				"Chicago, Rock Island & Pacific Rail Road Co."	United States -- Iowa -- Adair County -- Adair	1980-1990	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	9	13	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 19,347,748 bytes, 2118 x 3043; JPEG image:191,257 bytes"	10/20/2005	40adair03.jpg		41.499851	-94.638076	4/5/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,21"	21	18.jpg	/railroadiana/image/18.jpg
"Bridgewater, IA. BN"	unknown		1983-05-14	Double railroad tracks crossing a dirt road. Grain elevators in the distance on the left.		Railroad stations; Buildings				Burlington Northern Railroad Company	United States -- Iowa -- Adair County -- Bridgewater	1980-1990	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by County"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	12	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 13,776,992 bytes, 1738 x 2640; JPEG image: 208,725 bytes"	3/17/2005	40bridgewater02.jpg				3/31/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,22"	22	19.jpg	/railroadiana/image/19.jpg
"Bridgewater, Iowa. CBQ"	"Sims, Ronald D."		1960-06-24	"Wood depot with white barn and machinery behind. ""View looks NW. Agency discontinued July, 1958""--Photograph verso."		Railroad stations; Buildings				"Chicago, Burlington & Quincy Railroad Company"	United States -- Iowa -- Adair County -- Bridgewater	1960-1970	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	11	"Scanned with HP ScanJet 6100C @ 600 ppi. TIFF image: 7,426,076 bytes, 1788 x 2526; JPEG image: 191,320 bytes"	2/22/2005	40bridgewater01.jpg				10/18/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,23"	23	20.jpg	/railroadiana/image/20.jpg
"Fontanelle, Iowa. CBQ"	"Lawler, R. E."		1955-03-23	Depot with cars and railroad cars in front and behind and silos in the background.  Railroad tracks in foreground.		Railroad stations; Buildings; Automobiles; Railroad cars				"Chicago, Burlington & Quincy Railroad Company"	United States -- Iowa -- Adair County -- Fontanelle	1950-1960	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	11	"Scanned with HP Scanjet 8250 @ 600 ppi.TIFF image: 8,679,944 bytes, 1852 x 2700; JPEG image: 183,360 bytes"	2/22/2005	40fontanelle01.jpg				10/19/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,24"	24	21.jpg	/railroadiana/image/21.jpg
"Corning, Iowa. CBQ"	unknown		1964-09-21	"Partially brick depot with grass covered tracks in foreground.  Porch area has doors, a sign and other lumber stacked against a wall. An old dolly sits on the porch as well."		Railroad stations; Buildings				"Chicago, Burlington & Quincy Railroad Company;"	United States -- Iowa -- Adams County -- Corning	1960-1970	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	11	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 14,381,728 bytes, 1838 x 2606; JPEG image: 182,832 bytes"	3/21/2005	40corning01.jpg				10/19/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,25"	25	22.jpg	/railroadiana/image/22.jpg
"Brooks, Iowa. CBQ"	unknown		1964-09-21	Pair of railroad tracks stretching into the distance.  Building on the left in the background.		Railroad stations; Buildings				"Chicago, Burlington & Quincy Railroad Company;"	United States -- Iowa -- Adams County -- Brooks	1960-1970	Still image	Photographs	jpeg	John P. Vander Maas Railroadiana	University of Iowa. Libraries. Special Collections Dept.	John P. Vander Maas Railroadiana Collection	MSC0468	http://lib.uiowa.edu/collguides/?MSC0468	"Vol. 40, Depots by county"	"Educational use only, no other permissions given. U.S. and international copyright laws may protect this digital image. Commercial use or distribution of the image is not permitted without prior permission of the copyright holder. For information see:  http://www.lib.uiowa.edu/spec-coll/help/copyright.html"	Contact The University of Iowa Libraries Special Collections Department: http://www.lib.uiowa.edu/spec-coll/contact/index/	8	11	"Scanned with HP Scanjet 8250 @ 600 ppi. TIFF image: 16,188,108 bytes, 2070 x 2605; JPEG image: 149,093 bytes"	3/18/2005	40brooks01.jpg				10/18/2005	6/26/2012	"http://digital.lib.uiowa.edu:81/u?/railroadiana,26"	26	23.jpg	/railroadiana/image/23.jpg
